fingerprint,mean_bw
GrayBeard 2FED5000F7FB781A54F96D1A5022DD9FCEEE4652,22990.14311594203
Locke 484F666C491BCDE22B45E0E19D1CEA5ACC5A9611,22979.21983301828
pato 1AED1571D5FA7385AC3C25FB3E86F49E706ABD99,22925.405639571516
ragnardanneskjold 204AD371C227A2E157E02E9F383AA9F680A51246,22866.872637051038
Pinto D94000222FC6388273B5C97AFB0E80D7F363060D,22763.055765595465
niftyalloeumyarion 96CFE178A1D12489D9D59A0CAE17FE86F5A3A79F,22744.18541272842
FBIPartyTrain 94B7A0885AEFAF6CAD0D09930AA3026D53118107,22737.522054190296
FissionEx1 ECB24A326D382F84B7BD630CFDBE1A0CDCE0245A,22723.5097668557
CalyxInstitute08 0B5E5E70FFEA9C7F9FFD13B8E16916A608F3E9EB,22632.141540642722
portnoy 0A0C01DD0044E70318D9E3DA5F125A09069C57C1,22582.649259609323
Pichincha 68F175CCABE727AA2D2309BCD8789499CEE36ED7,22569.8947700063
martyr B1D65372F86DC2CA6B5D1B8D426784FA13121BED,22471.07860743541
TORoid 1D9D5D8281B4806DCD0D3BD180AB388AD1E97065,22369.999527410204
Fussy 3DC748C2DFF1F8E9DA5626BB3CBAAFF31D706C10,22356.03914618777
CalyxInstitute04 501B3DBF250B094A05CA5DBC424AD4C3D46721A2,22271.902804032765
DigiGesTor1e2 AD86CD1A49573D52A7B6F4A35750F161AAD89C88,22256.44234404537
Unnamed 9A8A10CAE9DF631BC8C08FB92C950DD58581209D,22255.308286074353
Unnamed AEB1C0A67120281E90B4F2C13C72D8B703D77DAA,22226.769927536232
exhibitor A93FAF92BF46D49508A0ADF7733D430A67EB5A87,22213.063642092
csailmitnoexit 9715C81BA8C5B0C698882035F75C67D6D643DBE3,22170.438720856964
TorRelayHemdal F92819F9B74BDF438FA9DA2E0163C3A1B44B0CEA,22153.18903591682
TorRelayOfRio2 067ECF198238BD14B0CFE24899475A53A94E14EC,22140.86483931947
Cryptocat 35DA04A92634AF2392CBA6AF158E00B5589A1CFA,22097.896739130436
estrade 4EA381A1CAF4422C14201B4BF799039942A97FFD,22094.889256458726
ULayerDoe 8465EBE0155D4907C41FB0B76216C7F67FDB529B,22078.716524889725
jmarshall EBDE762412D1F0D75338053F5A5A9B6EE053D642,22050.91052299937
Harambe 34133CC3192CF7538089B14511400DF21BA5A077,22047.864287964712
PLUTEX EF9C4611FAA7C21155A8BA2A721DDC3D27816035,21990.18281348456
isupporttorAy3RDw AD7AA1AD587B38AE6548C13B8DF60ACA8DC94C9C,21980.32175488343
cylondetector FDAF57C097E8CB0110B5B0869598C4819F9005F6,21934.9666036547
AccessNow004 D255268BACBB4562554CF20147731BDA0D8C452B,21930.782923755516
Fangio 65E40F7EDD28E2CF28684E30E0BAB7706819CFC3,21863.51701323251
URANUS E944498E562B07CABCB97F729287C03535D63EA3,21843.31584751103
FAIRVIEW 3B0915111F90D111635356CE89373099C98FC2BE,21834.833569628234
Biverse B70629C29A032979E5AD00CC51D2330845AAFD6A,21827.873739760555
Dhalgren A0F06C2FADF88D3A39AA3072B406F09D7095AC9E,21804.340737240076
d207cfad57355bf5f8 8F0E12147E64D9F0B0E78904E2EB15222A922044,21793.46888783869
