fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Abigail 5D4856CF4419267C45A58CD09624929D787399D2,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,16200,16200,14000,14000,14000,14000,14000,14000,14000,14000
AbseitsTOR 422599B1E863D2A6990966F2B43F82DE094A8652,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25
AcMNPVTorBox 5AA2AC373D132E21F11BFF99167AF92BF1CB7C41,53,41,53,41,41,41,41,41,41,41,41,41,41,49,49,41,49,42,42,42,49,42,42
Access AF2D21CFF2E910F55D2B7DCE1382C1FB5B22D0E5,36000,29500,34400,29400,29400,29300,29300,29200,29100,29100,26400,26400,29100,36000,36000,29000,36000,29200,26000,26000,29400,26000,26000
AccessNow000 4273E6D162ED2717A1CF4207A254004CD3F5307B,55000,41000,54000,53700,53700,53700,53700,53700,53700,53700,53700,53000,53700,55000,55000,53700,55000,53700,53700,53700,55000,45000,45000
AccessNow001 3C5915348D731505C48112F4F03235FDE7B8C837,29600,20000,30000,19000,19000,19000,19000,18000,18000,18000,18000,18000,18000,21800,21800,18000,24900,18000,18000,18000,24900,18000,18000
AccessNow002 6290A2D08E5EB89C809223C5C7BF52597690751D,31400,30500,31400,30500,30500,30500,30500,30500,30500,30500,30500,30500,30500,31400,31400,25000,31400,31400,31400,31400,31700,31400,31400
AccessNow003 2DFDEA5DD415B95594BFB12D59FE841167F94B5F,36600,26000,36600,26000,26000,26000,26000,24300,24300,27700,27700,27700,27700,33000,34000,27700,34000,27700,27700,22300,27700,22300,22300
AccessNow004 D255268BACBB4562554CF20147731BDA0D8C452B,41900,34000,41900,34000,34000,34000,34000,46500,46500,46500,46500,46500,46500,46900,46900,46500,46900,46500,46500,46500,46900,46500,46500
AccessNow005 B0DD527BE01842D46030265FBD9928217A709F28,22000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,21700,21700
AccessNow006 65E6EB676633328ADE3BD3168A59134CDDD21E19,29900,25000,29900,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,21600,21600,20000,21600,20000,20000,20000,21600,20000,20000
AccessNow007 0516085D6CAC40ED4CDCEFDFC5CCF6B00DE61DED,18000,15000,18000,15000,15000,15000,15000,15000,18500,18500,18500,15000,15000,20900,20900,15000,20900,15000,15000,15000,15000,14400,14400
AccessNow008 7E006A46A222CE42F84B4A175698B3B593A7B3B7,27700,26000,27700,23000,20000,20000,20000,20000,20000,20000,20000,20000,20000,23400,23400,20000,23400,20000,20000,20000,23400,20000,20000
AccessNow009 8D093C9C2B42BC224A5319A660A6CF5EDEFE839F,24300,15000,24300,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,18200,18200,14000,18200,14000,14000,14000,18200,14000,14000
AccessNow010 46F90EF3A3628C134DBB4654D0E4FF7EB914B690,30000,29100,29100,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,30900,30900,29000,30900,29000,29000,29000,30900,29000,29000
AcidBurn 0FBB3C61AB6D93E10ABDE69EB8CCC60518A8BF3A,5780,5400,7530,5400,5400,5400,5400,5400,5800,5850,5850,5850,5850,5900,5900,5850,5900,5850,5800,5800,5850,5800,5800
Acrolepiopsis 32B1913ADEAB0EC6D87516995D755D7D5A44FE56,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,4800,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
